date,location,nitrate,pho,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,co2,so2,temperature,ph,dissolved_oxygen,ammonia
7/9/2013,San Nicolas,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,31.3,8.5,6.8,0.04
7/9/2013,Mataas na Kahoy,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,30.8,8.5,6.6,0.04
7/9/2013,Tanauan,0.04,2.27,285.9,31.6,24.2,85,1,40,1700,92.88888889,31.3,8.5,6.2,0.04
8/16/2013,Aya Talisay,0.19,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,29.8,8.8,7.1,0.036666667
8/16/2013,Tumaway Talisay,0.126666667,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.6,6.2,0.058888889
8/16/2013,Sampaloc Talisay,0.07,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.3,6.1,0.104444444
8/16/2013,Berinayan Laurel,0.07,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.4,4,0.107777778
8/16/2013,Balakilong Laurel,0.143333333,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,29.1,8.4,7.6,0.061111111
8/16/2013,Buso Buso Laurel,0.243333333,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,29.1,8.4,5.6,0.422222222
8/16/2013,Bañaga Agoncillo,0.156666667,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.4,6.4,0.102222222
8/16/2013,Bilibinwang Agoncillo,0.14,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.5,7.9,0.122222222
8/16/2013,Subic Ilaya Agoncilo,0.116666667,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,29,8.4,6,0.207777778
8/16/2013,San Nicolas,0.1,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,29,8.6,6.8,0.113333333
8/16/2013,Mataas na Kahoy,0.166666667,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.6,6.4,0.373333333
8/16/2013,Tanauan,0.113333333,2.27,524.7,30.7,24.2,86,2,240,1700,92.88888889,30,8.6,6.5,0.015555556
9/10/2013,Aya Talisay,0.007666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30,8.4,5.2,0.152222222
9/10/2013,Tumaway Talisay,0.012,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.2,8.4,4.5,0.151111111
9/10/2013,Sampaloc Talisay,0.009666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30,8.2,2,0.307777778
9/10/2013,Berinayan Laurel,0.005666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.6,8.2,3.7,0.276666667
9/10/2013,Balakilong Laurel,0.016333333,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.7,8.2,2.9,0.153333333
9/10/2013,Buso Buso Laurel,0.022,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,31.2,8.3,4.1,0.254444444
9/10/2013,Bañaga Agoncillo,0.008666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.9,8.3,5.7,0.111111111
9/10/2013,Bilibinwang Agoncillo,0.010666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,31.5,8.4,7.8,0.228888889
9/10/2013,Subic Ilaya Agoncilo,0.007666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,32.2,8.6,5.3,0.134444444
9/10/2013,San Nicolas,0.005666667,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,31.6,8.2,6.7,0.126666667
9/10/2013,Mataas na Kahoy,0.002333333,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.8,8.4,6.1,0.128888889
9/10/2013,Tanauan,0.004333333,2.27,815.8,30.1,24.1,89,1,220,1700,92.88888889,30.9,8.6,6.4,0.094444444
10/22/2013,Aya Talisay,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,28.8,8.6,7,0.094444444
10/22/2013,Tumaway Talisay,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,28.8,8.5,7.9,0.094444444
10/22/2013,Sampaloc Talisay,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,29.3,8.3,8.5,0.094444444
10/22/2013,Berinayan Laurel,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30.1,8.3,8.4,0.094444444
10/22/2013,Balakilong Laurel,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30.2,8.4,8.6,0.094444444
10/22/2013,Buso Buso Laurel,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,29.9,8.4,8.8,0.094444444
10/22/2013,Bañaga Agoncillo,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30.1,8.2,8.7,0.094444444
10/22/2013,Bilibinwang Agoncillo,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30.4,8.3,8.8,0.094444444
10/22/2013,Subic Ilaya Agoncilo,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30.2,8.4,9.6,0.094444444
10/22/2013,San Nicolas,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,30,8.3,8.9,0.094444444
10/22/2013,Mataas na Kahoy,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,29.9,8.3,8.4,0.094444444
10/22/2013,Tanauan,0.004333333,2.27,121.1,30.7,23.2,83,1,40,540,92.88888889,29.4,8.3,8.9,0.094444444
11/11/2013,Aya Talisay,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.1,4.1,0.094444444
11/11/2013,Tumaway Talisay,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.1,4.2,0.094444444
11/11/2013,Sampaloc Talisay,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,3.1,0.094444444
11/11/2013,Berinayan Laurel,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.2,4.2,0.094444444
11/11/2013,Buso Buso Laurel,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,5.3,0.094444444
11/11/2013,Bañaga Agoncillo,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.2,4.4,0.094444444
11/11/2013,Bilibinwang Agoncillo,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,5,0.094444444
11/11/2013,Subic Ilaya Agoncilo,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,5.8,0.094444444
11/11/2013,Mataas na Kahoy,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,8.2,0.094444444
11/11/2013,Tanauan,0.004333333,2.27,225.2,30.4,24.3,83,2,40,540,92.88888889,26,8.3,5,0.094444444
12/17/2013,Aya Talisay,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.2,8.4,5.4,0.094444444
12/17/2013,Tumaway Talisay,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.1,8.2,6.5,0.094444444
12/17/2013,Sampaloc Talisay,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.6,8.2,6.8,0.094444444
12/17/2013,Berinayan Laurel,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.8,8.2,6.6,0.094444444
12/17/2013,Balakilong Laurel,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.8,8.2,7.8,0.094444444
12/17/2013,Buso Buso Laurel,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.7,8.1,7.1,0.094444444
